Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Newark, NJ",2014,9,43,,25,,8,,6,,4,,,-,,-,"Newark, NJ
(40.73197311400048, -74.17420658799966)",
"Paterson, NJ",2014,9,18,,13,,4,,1,,,-,,-,4,,"Paterson, NJ
(40.916612760000476, -74.17163854999967)",
"Philadelphia, PA",2014,9,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228127500047, -75.16244984999963)",
"Pittsburgh, PA§",2014,9,53,,37,,12,,1,,,-,3,,2,,"Pittsburgh, PA
(40.43834150200047, -79.99746553899968)",
"Reading, PA",2014,9,35,,23,,10,,1,,1,,,-,3,,"Reading, PA
(40.33662042900045, -75.92783660599963)",
"Rochester, NY",2014,9,172,,124,,38,,8,,,-,2,,11,,"Rochester, NY
(43.15580279700049, -77.61631886899966)",
"Schenectady, NY",2014,9,27,,21,,3,,2,,1,,,-,2,,"Schenectady, NY
(42.8122530060005, -73.94101987199963)",
"Scranton, PA",2014,9,36,,29,,5,,1,,,-,1,,4,,"Scranton, PA
(41.41015379200047, -75.66077859599966)",
"Syracuse, NY",2014,9,101,,86,,11,,3,,,-,1,,14,,"Syracuse, NY
(43.0499907300005, -76.14738815999965)",
"Trenton, NJ",2014,9,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ
(40.217883319000464, -74.75939751899966)",
"Utica, NY",2014,9,12,,9,,1,,2,,,-,,-,2,,"Utica, NY
(43.09589383800045, -75.24257707799967)",
"Yonkers, NY",2014,9,15,,12,,2,,1,,,-,,-,1,,"Yonkers, NY
(40.93299013900048, -73.89873881399967)",
E.N. Central,2014,9,2136,,1467,,493,,112,,25,,39,,154,,,
"Akron, OH",2014,9,60,,50,,7,,1,,1,,1,,4,,"Akron, OH
(41.08419170600047, -81.51405901999965)",
"Canton, OH",2014,9,41,,26,,11,,4,,,-,,-,8,,"Canton, OH
(40.79781312300048, -81.37156644799967)",
"Chicago, IL",2014,9,239,,156,,63,,13,,4,,3,,9,,"Chicago, IL
(41.88425366500047, -87.63244574499964)",
"Cincinnati, OH",2014,9,95,,63,,24,,5,,2,,1,,5,,"Cincinnati, OH
(39.10713351400045, -84.50412975199964)",
"Cleveland, OH",2014,9,278,,202,,59,,11,,2,,4,,25,,"Cleveland, OH
(41.50475135200048, -81.69071765199965)",
"Columbus, OH",2014,9,282,,186,,67,,19,,3,,7,,17,,"Columbus, OH
(39.96199068800047, -83.00274798399965)",
"Dayton, OH",2014,9,163,,109,,41,,10,,,-,3,,12,,"Dayton, OH
(39.75911127900048, -84.19443785699968)",
"Detroit, MI",2014,9,49,,30,,15,,3,,,-,1,,3,,"Detroit, MI
(42.331681680000486, -83.04799903299966)",
"Evansville, IN",2014,9,57,,41,,14,,,-,1,,1,,9,,"Evansville, IN
(37.97708100100044, -87.56404663099966)",
"Fort Wayne, IN",2014,9,79,,54,,19,,5,,,-,1,,6,,"Fort Wayne, IN
(41.08026149200049, -85.13830990099967)",
"Gary, IN",2014,9,14,,9,,4,,1,,,-,,-,,-,"Gary, IN
(41.603712343000495, -87.33716612199964)",
"Grand Rapids, MI",2014,9,48,,34,,8,,3,,2,,1,,3,,"Grand Rapids, MI
(42.966411166000455, -85.67117986599965)",
"Indianapolis, IN",2014,9,232,,139,,61,,17,,7,,8,,22,,"Indianapolis, IN
(39.76691364600049, -86.14995579899966)",
"Lansing, MI",2014,9,44,,33,,8,,2,,1,,,-,3,,"Lansing, MI
(42.731942666000464, -84.55224806999968)",
"Milwaukee, WI",2014,9,82,,52,,21,,7,,1,,1,,8,,"Milwaukee, WI
(43.041813206000484, -87.90683717599967)",
"Peoria, IL",2014,9,72,,48,,19,,1,,,-,4,,5,,"Peoria, IL
(40.69214397400049, -89.58775824399964)",
"Rockford, IL",2014,9,66,,45,,18,,2,,,-,1,,2,,"Rockford, IL
(42.2669001480005, -89.07834897499964)",
"South Bend, IN",2014,9,41,,32,,8,,1,,,-,,-,2,,"South Bend, IN
(41.679051856000456, -86.25403946499966)",
"Toledo, OH",2014,9,121,,94,,19,,5,,1,,2,,5,,"Toledo, OH
(41.65381363300048, -83.53625660699964)",
"Youngstown, OH",2014,9,73,,64,,7,,2,,,-,,-,6,,"Youngstown, OH
(41.09810376900049, -80.65078761499967)",
W.N. Central,2014,9,669,,439,,175,,31,,12,,12,,48,,,
"Des Moines, IA",2014,9,60,,48,,9,,,-,2,,1,,3,,"Des Moines, IA
(41.58976008400049, -93.61564652299967)",
"Duluth, MN",2014,9,37,,28,,9,,,-,,-,,-,2,,"Duluth, MN
(46.787958768000465, -92.09984801699966)",
"Kansas City, KS",2014,9,40,,23,,11,,4,,,-,2,,2,,"Kansas City, KS
(39.11352011100047, -94.6268190079997)",
"Kansas City, MO",2014,9,99,,61,,32,,3,,1,,2,,10,,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",
"Lincoln, NC",2014,9,56,,44,,8,,2,,1,,1,,2,,"Lincoln, NC
(35.568614881000485, -81.50048638499965)",
"Minneapolis, MN",2014,9,61,,34,,22,,2,,,-,3,,3,,"Minneapolis, MN
(44.97902885900049, -93.26492855899966)",
"Omaha, NE",2014,9,89,,55,,29,,5,,,-,,-,12,,"Omaha, NE
(41.2606940230005, -95.94058667399969)",
"St. Louis, MO",2014,9,68,,36,,21,,6,,3,,2,,5,,"St. Louis, MO
(38.62775018400049, -90.19955850799965)",
"St. Paul, MN",2014,9,49,,33,,12,,2,,1,,1,,2,,"St. Paul, MN
(44.9438177180005, -93.09331667699968)",
"Wichita, KS",2014,9,110,,77,,22,,7,,4,,,-,7,,"Wichita, KS
(37.68698211500049, -97.33557577399966)",
S. Atlantic,2014,9,1053,,696,,253,,70,,16,,17,,81,,,
"Atlanta, GA",2014,9,157,,94,,40,,14,,5,,4,,12,,"Atlanta, GA
(33.748314149000464, -84.39110931499965)",
"Baltimore, MD",2014,9,,-,,-,,-,,-,,-,,-,,-,"Baltimore, MD
(39.2905806980005, -76.60925970899967)",
"Charlotte, NC",2014,9,163,,104,,43,,9,,5,,2,,17,,"Charlotte, NC
(35.22286327700044, -80.83795956899968)",
"Jacksonville, FL",2014,9,157,,104,,38,,13,,1,,1,,11,,"Jacksonville, FL
(30.331471355000474, -81.65621662999968)",
"Miami, FL",2014,9,72,,54,,11,,5,,1,,,-,1,,"Miami, FL
(25.77481304000048, -80.19772778299966)",
"Norfolk, VA",2014,9,58,,39,,12,,3,,1,,3,,4,,"Norfolk, VA
(36.84682304600045, -76.28505728799968)",
"Richmond, VA",2014,9,63,,43,,17,,2,,,-,1,,4,,"Richmond, VA
(37.54070224600048, -77.43364879599966)",
"Savannah, GA",2014,9,70,,43,,15,,10,,1,,1,,8,,"Savannah, GA
(32.080912122000484, -81.09118590699967)",
"St. Petersburg, FL",2014,9,71,,51,,18,,2,,,-,,-,8,,"St. Petersburg, FL
(27.771191804000466, -82.63875661699967)",
"Tampa, FL",2014,9,129,,90,,27,,9,,2,,1,,3,,"Tampa, FL
(27.946532922000472, -82.45926644299965)",
"Washington, D.C.",2014,9,98,,66,,26,,2,,,-,4,,12,,"Washington, D.C.
(38.89510854700046, -77.03636591599968)",
"Wilmington, DE",2014,9,15,,8,,6,,1,,,-,,-,1,,"Wilmington, DE
(39.7402328550005, -75.55083980499967)",
E.S. Central,2014,9,1159,,752,,306,,61,,23,,17,,104,,,
"Birmingham, AL",2014,9,210,,127,,58,,14,,5,,6,,23,,"Birmingham, AL
(33.520683327000484, -86.81175909799964)",
"Chattanooga, TN",2014,9,140,,97,,36,,5,,2,,,-,12,,"Chattanooga, TN
(35.046441350000464, -85.30945730199966)",
"Knoxville, TN",2014,9,163,,116,,35,,8,,2,,2,,22,,"Knoxville, TN
(35.960492900000474, -83.92090839299965)",
"Lexington, KY",2014,9,77,,52,,19,,3,,,-,3,,,-,"Lexington, KY
(38.04859302400047, -84.50031565799964)",
"Memphis, TN",2014,9,235,,144,,62,,17,,9,,3,,20,,"Memphis, TN
(35.14976130600047, -90.04924570399965)",
"Mobile, AL",2014,9,114,,86,,25,,2,,1,,,-,11,,"Mobile, AL
(30.686391968000464, -88.05323763099966)",
"Montgomery, AL",2014,9,53,,34,,17,,1,,1,,,-,4,,"Montgomery, AL
(32.38012195900046, -86.30062589499965)",
"Nashville, TN",2014,9,167,,96,,54,,11,,3,,3,,12,,"Nashville, TN
(36.16784292800048, -86.77815577199965)",
W.S. Central,2014,9,1601,,973,,445,,120,,32,,31,,107,,,
"Austin, TX",2014,9,110,,72,,29,,7,,2,,,-,7,,"Austin, TX
(30.267600919000472, -97.74297813599969)",
"Baton Rouge, LA",2014,9,83,,45,,22,,9,,4,,3,,5,,"Baton Rouge, LA
(30.443343989000482, -91.18698893099969)",
"Corpus Christi, TX",2014,9,94,,57,,24,,7,,4,,2,,8,,"Corpus Christi, TX
(27.79641216300047, -97.40355953599965)",
"Dallas, TX",2014,9,248,,157,,58,,20,,4,,9,,27,,"Dallas, TX
(32.778154335000465, -96.79539918599966)",
"El Paso, TX",2014,9,72,,54,,15,,2,,,-,1,,,-,"El Paso, TX
(31.759161618000462, -106.4874888869997)",
"Fort Worth, TX",2014,9,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.750951005000445, -97.33085951799967)",
"Houston, TX",2014,9,448,,244,,152,,35,,7,,10,,16,,"Houston, TX
(29.760451522000437, -95.36977674999969)",
"Little Rock, AR",2014,9,105,,64,,28,,10,,1,,2,,8,,"Little Rock, AR
(34.748651751000466, -92.27448794899965)",
"New Orleans, LA",2014,9,58,,32,,14,,10,,2,,,-,2,,"New Orleans, LA
(29.953701909000472, -90.07774868499968)",
"San Antonio, TX",2014,9,254,,160,,69,,15,,7,,3,,22,,"San Antonio, TX
(29.42458351300047, -98.49460914499969)",
"Shreveport, LA",2014,9,74,,48,,22,,3,,,-,1,,6,,"Shreveport, LA
(32.51461118700047, -93.74726848099965)",
"Tulsa, OK",2014,9,55,,40,,12,,2,,1,,,-,6,,"Tulsa, OK
(36.149741615000494, -95.99332745899966)",
Mountain,2014,9,1314,,882,,301,,88,,22,,21,,111,,,
"Albuquerque, NM",2014,9,148,,101,,35,,8,,2,,2,,19,,"Albuquerque, NM
(35.08418033400045, -106.64863657599966)",
"Boise, ID",2014,9,70,,57,,7,,3,,3,,,-,2,,"Boise, ID
(43.6069823790005, -116.1934057949997)",
"Colorado Springs, CO",2014,9,79,,50,,15,,6,,5,,3,,2,,"Colorado Springs, CO
(38.83343433700048, -104.82180632899968)",
"Denver, CO",2014,9,106,,73,,20,,9,,1,,3,,3,,"Denver, CO
(39.74001401400045, -104.9922972059997)",
"Las Vegas, NV",2014,9,331,,206,,97,,20,,6,,2,,34,,"Las Vegas, NV
(36.17191159200047, -115.13996564999968)",
"Ogden, UT",2014,9,35,,30,,2,,3,,,-,,-,3,,"Ogden, UT
(41.22236104300049, -111.97047620299969)",
"Phoenix, AZ",2014,9,188,,119,,47,,14,,3,,5,,27,,"Phoenix, AZ
(33.448260210000456, -112.0757657309997)",
"Pueblo, CO",2014,9,32,,25,,6,,1,,,-,,-,2,,"Pueblo, CO
(38.26386153800047, -104.61236614299969)",
"Salt Lake City, UT",2014,9,122,,76,,27,,14,,1,,4,,11,,"Salt Lake City, UT
(40.92177563200045, -111.9868580479997)",
"Tucson, AZ",2014,9,203,,145,,45,,10,,1,,2,,8,,"Tucson, AZ
(32.22155124200049, -110.96975897999971)",
Pacific,2014,9,1933,,1328,,455,,95,,36,,19,,189,,,
"Berkeley, CA",2014,9,16,,12,,2,,1,,1,,,-,1,,"Berkeley, CA
(37.86988442700044, -122.2705386769997)",
"Fresno, CA",2014,9,135,,98,,27,,7,,3,,,-,8,,"Fresno, CA
(36.74068048300046, -119.78572815899969)",
"Glendale, CA",2014,9,27,,21,,5,,1,,,-,,-,5,,"Glendale, CA
(34.146333127000446, -118.24863950799971)",
"Honolulu, HI",2014,9,101,,67,,28,,4,,1,,1,,15,,"Honolulu, HI
(21.30485166200043, -157.85774691599974)",
"Long Beach, CA",2014,9,58,,38,,15,,4,,1,,,-,12,,"Long Beach, CA
(33.76672362600044, -118.19239725799969)",
"Los Angeles, CA",2014,9,270,,164,,71,,27,,5,,3,,30,,"Los Angeles, CA
(34.05349076500045, -118.24531669099969)",
"Pasadena, CA",2014,9,17,,6,,7,,2,,2,,,-,1,,"Pasadena, CA
(34.14745413100047, -118.14426554199969)",
"Portland, OR",2014,9,127,,86,,30,,6,,2,,3,,6,,"Portland, OR
(45.511787169000456, -122.6756275729997)",
"Sacramento, CA",2014,9,280,,196,,62,,14,,3,,5,,34,,"Sacramento, CA
(38.57933263300049, -121.49089596399972)",
"San Diego, CA",2014,9,191,,133,,45,,5,,5,,3,,12,,"San Diego, CA
(32.71569073700044, -117.16171662299968)",
"San Francisco, CA",2014,9,115,,79,,25,,7,,3,,1,,16,,"San Francisco, CA
(37.777122455000494, -122.4196366869997)",
"San Jose, CA",2014,9,232,,172,,48,,7,,3,,2,,17,,"San Jose, CA
(37.33858208200047, -121.8855697949997)",
"Santa Cruz, CA",2014,9,45,,30,,15,,,-,,-,,-,6,,"Santa Cruz, CA
(36.974023514000464, -122.03094750099973)",
"Seattle, WA",2014,9,149,,111,,31,,5,,2,,,-,7,,"Seattle, WA
(47.603567400000486, -122.32944721899969)",
"Spokane, WA",2014,9,54,,38,,15,,,-,,-,1,,6,,"Spokane, WA
(47.65725947700048, -117.41227666799972)",
"Tacoma, WA",2014,9,116,,77,,29,,5,,5,,,-,13,,"Tacoma, WA
(47.255127174000506, -122.44163694999969)",
Total¶,2014,9,12509,,8440,,2985,,698,,198,,187,,987,,,
New England,2014,10,571,,394,,120,,39,,9,,9,,60,,,
"Boston, MA",2014,10,128,,84,,24,,13,,5,,2,,15,,"Boston, MA
(42.35866170200046, -71.05673887699965)",
"Bridgeport, CT",2014,10,43,,32,,6,,5,,,-,,-,5,,"Bridgeport, CT
(41.1818843100005, -73.19126911399962)",
"Cambridge, MA",2014,10,13,,9,,2,,2,,,-,,-,1,,"Cambridge, MA
(42.36679009800048, -71.10600946299962)",
"Fall River, MA",2014,10,18,,14,,3,,1,,,-,,-,3,,"Fall River, MA
(41.697354146000464, -71.14364572399967)",
"Hartford, CT",2014,10,60,,41,,13,,3,,,-,3,,7,,"Hartford, CT
(41.763493388000484, -72.67401728199962)",
"Lowell, MA",2014,10,23,,15,,4,,2,,2,,,-,1,,"Lowell, MA
(42.64588438700048, -71.31283694999962)",
"Lynn, MA",2014,10,16,,11,,2,,2,,1,,,-,,-,"Lynn, MA
(42.463701125000455, -70.95021669199963)",
"New Bedford, MA",2014,10,24,,16,,7,,1,,,-,,-,4,,"New Bedford, MA
(41.637672961000476, -70.93086932199964)",
"New Haven, CT",2014,10,31,,19,,7,,4,,,-,1,,1,,"New Haven, CT
(41.307624346000466, -72.92461752399964)",
"Providence, RI",2014,10,64,,47,,14,,2,,1,,,-,1,,"Providence, RI
(41.82387129300048, -71.41198998599964)",
"Somerville, MA",2014,10,2,,2,,,-,,-,,-,,-,,-,"Somerville, MA
(42.38668233800047, -71.09825622299962)",
"Springfield, MA",2014,10,44,,30,,13,,1,,,-,,-,5,,"Springfield, MA
(42.10125058000045, -72.58928991799962)",
"Waterbury, CT",2014,10,29,,18,,8,,2,,,-,1,,5,,"Waterbury, CT
(41.55407106600046, -73.04616830899965)",
"Worcester, MA",2014,10,76,,56,,17,,1,,,-,2,,12,,"Worcester, MA
(42.26341208400049, -71.80218873199965)",
Mid. Atlantic,2014,10,1930,,1366,,430,,78,,36,,18,,98,,,
"Albany, NY",2014,10,60,,35,,20,,3,,1,,1,,1,,"Albany, NY
(42.65155193300046, -73.75520562899965)",
"Allentown, PA",2014,10,53,,41,,9,,1,,1,,1,,4,,"Allentown, PA
(40.6026020970005, -75.47025702899964)",
"Buffalo, NY",2014,10,76,,55,,17,,3,,1,,,-,8,,"Buffalo, NY
(42.88544430100046, -78.87845781999965)",
"Camden, NJ",2014,10,33,,19,,4,,4,,3,,3,,,-,"Camden, NJ
(39.94525155200046, -75.11912817799964)",
"Elizabeth, NJ",2014,10,19,,12,,5,,1,,1,,,-,2,,"Elizabeth, NJ
(40.66351147400047, -74.21145875999963)",
"Erie, PA",2014,10,54,,38,,13,,2,,1,,,-,5,,"Erie, PA
(42.1294409300005, -80.08523881899964)",
"Jersey City, NJ",2014,10,20,,14,,6,,,-,,-,,-,2,,"Jersey City, NJ
(40.71747152000046, -74.04383961799965)",
"New York City, NY",2014,10,1177,,840,,266,,46,,14,,11,,48,,"New York City, NY
(40.71455065700047, -74.00711891899965)",
"Newark, NJ",2014,10,25,,10,,9,,3,,3,,,-,4,,"Newark, NJ
(40.73197311400048, -74.17420658799966)",
"Paterson, NJ",2014,10,17,,11,,4,,,-,2,,,-,,-,"Paterson, NJ
(40.916612760000476, -74.17163854999967)",
"Philadelphia, PA",2014,10,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228127500047, -75.16244984999963)",
"Pittsburgh, PA§",2014,10,31,,24,,5,,2,,,-,,-,2,,"Pittsburgh, PA
(40.43834150200047, -79.99746553899968)",
"Reading, PA",2014,10,32,,24,,4,,2,,1,,,-,3,,"Reading, PA
(40.33662042900045, -75.92783660599963)",
"Rochester, NY",2014,10,137,,99,,24,,5,,8,,1,,6,,"Rochester, NY
(43.15580279700049, -77.61631886899966)",
"Schenectady, NY",2014,10,20,,15,,4,,1,,,-,,-,2,,"Schenectady, NY
(42.8122530060005, -73.94101987199963)",
"Scranton, PA",2014,10,28,,21,,7,,,-,,-,,-,4,,"Scranton, PA
(41.41015379200047, -75.66077859599966)",
"Syracuse, NY",2014,10,96,,70,,21,,4,,,-,,-,7,,"Syracuse, NY
(43.0499907300005, -76.14738815999965)",
"Trenton, NJ",2014,10,19,,13,,5,,,-,,-,1,,,-,"Trenton, NJ
(40.217883319000464, -74.75939751899966)",
"Utica, NY",2014,10,13,,10,,3,,,-,,-,,-,,-,"Utica, NY
(43.09589383800045, -75.24257707799967)",
"Yonkers, NY",2014,10,20,,15,,4,,1,,,-,,-,,-,"Yonkers, NY
(40.93299013900048, -73.89873881399967)",
E.N. Central,2014,10,1970,,1277,,500,,113,,36,,44,,135,,,
"Akron, OH",2014,10,46,,29,,14,,3,,,-,,-,5,,"Akron, OH
(41.08419170600047, -81.51405901999965)",
"Canton, OH",2014,10,36,,25,,9,,2,,,-,,-,4,,"Canton, OH
(40.79781312300048, -81.37156644799967)",
"Chicago, IL",2014,10,282,,171,,83,,19,,5,,4,,17,,"Chicago, IL
(41.88425366500047, -87.63244574499964)",
"Cincinnati, OH",2014,10,93,,53,,28,,6,,6,,,-,10,,"Cincinnati, OH
(39.10713351400045, -84.50412975199964)",
"Cleveland, OH",2014,10,280,,196,,61,,12,,4,,7,,17,,"Cleveland, OH
(41.50475135200048, -81.69071765199965)",
"Columbus, OH",2014,10,157,,95,,46,,7,,2,,7,,6,,"Columbus, OH
(39.96199068800047, -83.00274798399965)",
"Dayton, OH",2014,10,122,,88,,26,,6,,1,,1,,10,,"Dayton, OH
(39.75911127900048, -84.19443785699968)",
"Detroit, MI",2014,10,103,,53,,32,,13,,2,,3,,2,,"Detroit, MI
(42.331681680000486, -83.04799903299966)",
"Evansville, IN",2014,10,51,,40,,9,,2,,,-,,-,4,,"Evansville, IN
(37.97708100100044, -87.56404663099966)",
"Fort Wayne, IN",2014,10,79,,51,,20,,4,,2,,2,,5,,"Fort Wayne, IN
(41.08026149200049, -85.13830990099967)",
"Gary, IN",2014,10,8,,3,,2,,3,,,-,,-,1,,"Gary, IN
(41.603712343000495, -87.33716612199964)",
"Grand Rapids, MI",2014,10,62,,44,,12,,2,,2,,2,,8,,"Grand Rapids, MI
(42.966411166000455, -85.67117986599965)",
"Indianapolis, IN",2014,10,177,,97,,46,,17,,5,,12,,15,,"Indianapolis, IN
(39.76691364600049, -86.14995579899966)",
"Lansing, MI",2014,10,50,,31,,16,,3,,,-,,-,6,,"Lansing, MI
(42.731942666000464, -84.55224806999968)",
"Milwaukee, WI",2014,10,102,,68,,24,,5,,2,,3,,2,,"Milwaukee, WI
(43.041813206000484, -87.90683717599967)",
"Peoria, IL",2014,10,62,,44,,15,,2,,,-,1,,3,,"Peoria, IL
(40.69214397400049, -89.58775824399964)",
"Rockford, IL",2014,10,58,,45,,11,,1,,1,,,-,4,,"Rockford, IL
(42.2669001480005, -89.07834897499964)",
"South Bend, IN",2014,10,49,,38,,6,,2,,2,,1,,5,,"South Bend, IN
(41.679051856000456, -86.25403946499966)",
"Toledo, OH",2014,10,93,,63,,27,,2,,1,,,-,8,,"Toledo, OH
(41.65381363300048, -83.53625660699964)",
"Youngstown, OH",2014,10,60,,43,,13,,2,,1,,1,,3,,"Youngstown, OH
(41.09810376900049, -80.65078761499967)",
W.N. Central,2014,10,712,,459,,157,,52,,21,,21,,46,,,
"Des Moines, IA",2014,10,79,,58,,16,,5,,,-,,-,7,,"Des Moines, IA
(41.58976008400049, -93.61564652299967)",
"Duluth, MN",2014,10,25,,17,,6,,,-,,-,1,,2,,"Duluth, MN
(46.787958768000465, -92.09984801699966)",
"Kansas City, KS",2014,10,28,,14,,8,,4,,2,,,-,4,,"Kansas City, KS
(39.11352011100047, -94.6268190079997)",
"Kansas City, MO",2014,10,113,,72,,30,,5,,2,,3,,9,,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",
"Lincoln, NC",2014,10,41,,30,,7,,2,,1,,1,,4,,"Lincoln, NC
(35.568614881000485, -81.50048638499965)",
"Minneapolis, MN",2014,10,69,,44,,9,,5,,5,,6,,2,,"Minneapolis, MN
(44.97902885900049, -93.26492855899966)",
"Omaha, NE",2014,10,96,,66,,26,,3,,,-,1,,7,,"Omaha, NE
(41.2606940230005, -95.94058667399969)",
"St. Louis, MO",2014,10,85,,38,,29,,11,,3,,4,,5,,"St. Louis, MO
(38.62775018400049, -90.19955850799965)",
"St. Paul, MN",2014,10,80,,57,,13,,5,,4,,1,,2,,"St. Paul, MN
(44.9438177180005, -93.09331667699968)",
"Wichita, KS",2014,10,96,,63,,13,,12,,4,,4,,4,,"Wichita, KS
(37.68698211500049, -97.33557577399966)",
S. Atlantic,2014,10,1012,,628,,282,,67,,15,,20,,66,,,
"Atlanta, GA",2014,10,147,,83,,44,,13,,3,,4,,10,,"Atlanta, GA
(33.748314149000464, -84.39110931499965)",
"Baltimore, MD",2014,10,,-,,-,,-,,-,,-,,-,,-,"Baltimore, MD
(39.2905806980005, -76.60925970899967)",
"Charlotte, NC",2014,10,171,,110,,42,,12,,3,,4,,6,,"Charlotte, NC
(35.22286327700044, -80.83795956899968)",
"Jacksonville, FL",2014,10,138,,82,,48,,8,,,-,,-,11,,"Jacksonville, FL
(30.331471355000474, -81.65621662999968)",
"Miami, FL",2014,10,71,,50,,19,,1,,1,,,-,2,,"Miami, FL
(25.77481304000048, -80.19772778299966)",
"Norfolk, VA",2014,10,43,,31,,8,,2,,,-,2,,3,,"Norfolk, VA
(36.84682304600045, -76.28505728799968)",
"Richmond, VA",2014,10,58,,34,,17,,6,,1,,,-,7,,"Richmond, VA
(37.54070224600048, -77.43364879599966)",
"Savannah, GA",2014,10,95,,66,,22,,3,,2,,2,,5,,"Savannah, GA
(32.080912122000484, -81.09118590699967)",
"St. Petersburg, FL",2014,10,52,,36,,12,,2,,,-,2,,5,,"St. Petersburg, FL
(27.771191804000466, -82.63875661699967)",
"Tampa, FL",2014,10,103,,65,,22,,9,,3,,4,,7,,"Tampa, FL
(27.946532922000472, -82.45926644299965)",
"Washington, D.C.",2014,10,116,,59,,43,,11,,2,,1,,8,,"Washington, D.C.
(38.89510854700046, -77.03636591599968)",
"Wilmington, DE",2014,10,18,,12,,5,,,-,,-,1,,2,,"Wilmington, DE
(39.7402328550005, -75.55083980499967)",
E.S. Central,2014,10,971,,605,,251,,69,,25,,20,,84,,,
"Birmingham, AL",2014,10,193,,126,,41,,10,,6,,9,,16,,"Birmingham, AL
(33.520683327000484, -86.81175909799964)",
"Chattanooga, TN",2014,10,99,,67,,21,,9,,1,,1,,9,,"Chattanooga, TN
(35.046441350000464, -85.30945730199966)",
"Knoxville, TN",2014,10,90,,49,,30,,8,,1,,2,,12,,"Knoxville, TN
(35.960492900000474, -83.92090839299965)",
"Lexington, KY",2014,10,97,,60,,29,,4,,2,,2,,,-,"Lexington, KY
(38.04859302400047, -84.50031565799964)",
"Memphis, TN",2014,10,194,,116,,51,,19,,4,,4,,26,,"Memphis, TN
(35.14976130600047, -90.04924570399965)",
"Mobile, AL",2014,10,82,,56,,18,,6,,2,,,-,6,,"Mobile, AL
(30.686391968000464, -88.05323763099966)",
"Montgomery, AL",2014,10,54,,32,,14,,3,,4,,1,,2,,"Montgomery, AL
(32.38012195900046, -86.30062589499965)",
"Nashville, TN",2014,10,162,,99,,47,,10,,5,,1,,13,,"Nashville, TN
(36.16784292800048, -86.77815577199965)",
W.S. Central,2014,10,1738,,1120,,445,,102,,36,,35,,104,,,
"Austin, TX",2014,10,106,,62,,32,,10,,1,,1,,7,,"Austin, TX
(30.267600919000472, -97.74297813599969)",
"Baton Rouge, LA",2014,10,88,,67,,16,,1,,1,,3,,5,,"Baton Rouge, LA
(30.443343989000482, -91.18698893099969)",
"Corpus Christi, TX",2014,10,75,,51,,16,,5,,3,,,-,6,,"Corpus Christi, TX
(27.79641216300047, -97.40355953599965)",
"Dallas, TX",2014,10,209,,120,,65,,11,,6,,7,,19,,"Dallas, TX
(32.778154335000465, -96.79539918599966)",
"El Paso, TX",2014,10,131,,89,,28,,7,,3,,4,,,-,"El Paso, TX
(31.759161618000462, -106.4874888869997)",
"Fort Worth, TX",2014,10,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.750951005000445, -97.33085951799967)",
"Houston, TX",2014,10,482,,304,,131,,34,,8,,5,,15,,"Houston, TX
(29.760451522000437, -95.36977674999969)",
"Little Rock, AR",2014,10,102,,72,,20,,5,,2,,3,,6,,"Little Rock, AR
(34.748651751000466, -92.27448794899965)",
"New Orleans, LA",2014,10,55,,30,,14,,6,,4,,1,,3,,"New Orleans, LA
(29.953701909000472, -90.07774868499968)",
"San Antonio, TX",2014,10,351,,229,,87,,21,,7,,7,,30,,"San Antonio, TX
(29.42458351300047, -98.49460914499969)",
"Shreveport, LA",2014,10,89,,58,,26,,2,,1,,2,,9,,"Shreveport, LA
(32.51461118700047, -93.74726848099965)",
"Tulsa, OK",2014,10,50,,38,,10,,,-,,-,2,,4,,"Tulsa, OK
(36.149741615000494, -95.99332745899966)",
Mountain,2014,10,1338,,917,,287,,85,,29,,19,,96,,,
"Albuquerque, NM",2014,10,172,,104,,45,,17,,3,,3,,24,,"Albuquerque, NM
(35.08418033400045, -106.64863657599966)",
"Boise, ID",2014,10,64,,48,,9,,3,,2,,2,,3,,"Boise, ID
(43.6069823790005, -116.1934057949997)",
"Colorado Springs, CO",2014,10,94,,64,,21,,4,,3,,2,,3,,"Colorado Springs, CO
(38.83343433700048, -104.82180632899968)",
"Denver, CO",2014,10,81,,62,,13,,6,,,-,,-,2,,"Denver, CO
(39.74001401400045, -104.9922972059997)",
"Las Vegas, NV",2014,10,330,,228,,84,,12,,3,,3,,30,,"Las Vegas, NV
(36.17191159200047, -115.13996564999968)",
